row_order,industry_name,naics_code,industry_name_norm,series_id,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes,begin_year,begin_period,end_year,end_period,display_level,matched,industry_code_8,parent_series_id,parent_rule,denominator_opt1,denominator_opt1_name,denominator_opt2,denominator_opt2_name,denominator_opt3,denominator_opt3_name,denominator_opt4,denominator_opt4_name,denominator_opt5,denominator_opt5_name
158,"Power, distribution, and specialty transformer manufacturing",335311,power distribution and specialty transformer manufacturing,CES3133531101,31,31335311,1,S,"All employees, thousands, power, distribution, and specialty transformer manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31335311,CES3133500001,parent_3digit,CES3133500001,"Electrical equipment, appliance, and component manufacturing",CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
159,"Motor, generator, switchgear and switchboard apparatus, and relay and industrial control manufacturing","335312,3,4",motor generator switchgear and switchboard apparatus and relay and industrial control manufacturing,CES3133531401,31,31335314,1,S,"All employees, thousands, motor, generator, switchgear and switchboard apparatus, and relay and industrial control manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31335314,CES3133500001,parent_3digit,CES3133500001,"Electrical equipment, appliance, and component manufacturing",CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
160,Other electrical equipment and component manufacturing,3359,other electrical equipment and component manufacturing,CES3133590001,31,31335900,1,S,"All employees, thousands, other electrical equipment and component manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31335900,CES3133500001,parent_3digit,CES3133500001,"Electrical equipment, appliance, and component manufacturing",CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
161,Battery manufacturing,33591,battery manufacturing,CES3133591001,31,31335910,1,S,"All employees, thousands, battery manufacturing, seasonally adjusted",I,1972,M01,2025,M12,6,True,31335910,CES3133500001,parent_3digit,CES3133500001,"Electrical equipment, appliance, and component manufacturing",CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
162,"Wiring device, communication and energy wire and cable, and all other electrical equipment and component manufacturing","33592,3,9",wiring device communication and energy wire and cable and all other electrical equipment and component manufacturing,CES3133599001,31,31335990,1,S,"All employees, thousands, wiring device, communication and energy wire and cable, and all other electrical equipment and component manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31335990,CES3133500001,parent_3digit,CES3133500001,"Electrical equipment, appliance, and component manufacturing",CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
163,Transportation equipment manufacturing,336,transportation equipment manufacturing,CES3133600001,31,31336000,1,S,"All employees, thousands, transportation equipment manufacturing, seasonally adjusted",,1990,M01,2026,M01,4,True,31336000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
164,Motor vehicles and parts,"3361,2,3",motor vehicles and parts,CES3133600101,31,31336001,1,S,"All employees, thousands, motor vehicles and parts, seasonally adjusted",I,1990,M01,2026,M01,5,True,31336001,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
165,Motor vehicle manufacturing,3361,motor vehicle manufacturing,CES3133610001,31,31336100,1,S,"All employees, thousands, motor vehicle manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31336100,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
166,Motor vehicle body and trailer manufacturing,3362,motor vehicle body and trailer manufacturing,CES3133620001,31,31336200,1,S,"All employees, thousands, motor vehicle body and trailer manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31336200,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
167,Motor vehicle parts manufacturing,3363,motor vehicle parts manufacturing,CES3133630001,31,31336300,1,S,"All employees, thousands, motor vehicle parts manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31336300,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
168,Motor vehicle gasoline engine and engine parts manufacturing,33631,motor vehicle gasoline engine and engine parts manufacturing,CES3133631001,31,31336310,1,S,"All employees, thousands, motor vehicle gasoline engine and engine parts manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31336310,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
169,Motor vehicle electrical and electronic equipment manufacturing,33632,motor vehicle electrical and electronic equipment manufacturing,CES3133632001,31,31336320,1,S,"All employees, thousands, motor vehicle electrical and electronic equipment manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31336320,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
170,Motor vehicle transmission and power train parts manufacturing,33635,motor vehicle transmission and power train parts manufacturing,CES3133635001,31,31336350,1,S,"All employees, thousands, motor vehicle transmission and power train parts manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31336350,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
171,Motor vehicle metal stamping,33637,motor vehicle metal stamping,CES3133637001,31,31336370,1,S,"All employees, thousands, motor vehicle metal stamping, seasonally adjusted",I,1972,M01,2025,M12,6,True,31336370,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
172,"Motor vehicle steering and suspension components, except spring; brake system, seating, interior trim, and other motor vehicle parts manufacturing","33633,4,6,9",motor vehicle steering and suspension components except spring brake system seating interior trim and other motor vehicle parts manufacturing,CES3133639001,31,31336390,1,S,"All employees, thousands, motor vehicle steering and suspension components, except spring; brake system, seating, interior trim, and other motor vehicle parts manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31336390,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
173,Aerospace product and parts manufacturing,3364,aerospace product and parts manufacturing,CES3133640001,31,31336400,1,S,"All employees, thousands, aerospace product and parts manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31336400,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
174,Aircraft manufacturing,336411,aircraft manufacturing,CES3133641101,31,31336411,1,S,"All employees, thousands, aircraft manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31336411,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
175,Aircraft engine and engine parts manufacturing,336412,aircraft engine and engine parts manufacturing,CES3133641201,31,31336412,1,S,"All employees, thousands, aircraft engine and engine parts manufacturing, seasonally adjusted",I,1982,M01,2025,M12,7,True,31336412,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
176,Other aircraft parts and auxiliary equipment manufacturing,336413,other aircraft parts and auxiliary equipment manufacturing,CES3133641301,31,31336413,1,S,"All employees, thousands, other aircraft parts and auxiliary equipment manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31336413,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
177,"Guided missile; space vehicle; and guided missile and space vehicle propulsion unit, parts, and auxiliary equipment manufacturing","336414,5,9",guided missile space vehicle and guided missile and space vehicle propulsion unit parts and auxiliary equipment manufacturing,CES3133641901,31,31336419,1,S,"All employees, thousands, guided missile; space vehicle; and guided missile and space vehicle propulsion unit, parts, and auxiliary equipment manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31336419,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
178,Ship and boat building,3366,ship and boat building,CES3133660001,31,31336600,1,S,"All employees, thousands, ship and boat building, seasonally adjusted",I,1939,M01,2025,M12,5,True,31336600,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
179,Ship building and repairing,336611,ship building and repairing,CES3133661101,31,31336611,1,S,"All employees, thousands, ship building and repairing, seasonally adjusted",I,1939,M01,2025,M12,7,True,31336611,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
180,Boat building,336612,boat building,CES3133661201,31,31336612,1,S,"All employees, thousands, boat building, seasonally adjusted",I,1990,M01,2025,M12,7,True,31336612,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
181,Railroad rolling stock and other transportation equipment manufacturing,"3365,9",railroad rolling stock and other transportation equipment manufacturing,CES3133690001,31,31336900,1,S,"All employees, thousands, railroad rolling stock and other transportation equipment manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31336900,CES3133600001,parent_3digit,CES3133600001,Transportation equipment manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
182,Furniture and related product manufacturing,337,furniture and related product manufacturing,CES3133700001,31,31337000,1,S,"All employees, thousands, furniture and related product manufacturing, seasonally adjusted",,1990,M01,2026,M01,4,True,31337000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
183,Household and institutional furniture and kitchen cabinet manufacturing,3371,household and institutional furniture and kitchen cabinet manufacturing,CES3133710001,31,31337100,1,S,"All employees, thousands, household and institutional furniture and kitchen cabinet manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31337100,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
184,Wood kitchen cabinet and countertop manufacturing,33711,wood kitchen cabinet and countertop manufacturing,CES3133711001,31,31337110,1,S,"All employees, thousands, wood kitchen cabinet and countertop manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31337110,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
185,Household and institutional furniture manufacturing,33712,household and institutional furniture manufacturing,CES3133712001,31,31337120,1,S,"All employees, thousands, household and institutional furniture manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31337120,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
186,Upholstered household furniture manufacturing,337121,upholstered household furniture manufacturing,CES3133712101,31,31337121,1,S,"All employees, thousands, upholstered household furniture manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31337121,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
187,Nonupholstered household furniture and institutional furniture manufacturing,"337122,6,7",nonupholstered household furniture and institutional furniture manufacturing,CES3133712701,31,31337127,1,S,"All employees, thousands, nonupholstered household furniture and institutional furniture manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31337127,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
188,Office furniture (including fixtures) and other furniture related product manufacturing,3372,office furniture including fixtures and other furniture related product manufacturing,CES3133720001,31,31337200,1,S,"All employees, thousands, office furniture (including fixtures) and other furniture related product manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31337200,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
189,Office furniture and custom architectural woodwork and millwork manufacturing,"337211,2,4",office furniture and custom architectural woodwork and millwork manufacturing,CES3133721401,31,31337214,1,S,"All employees, thousands, office furniture and custom architectural woodwork and millwork manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31337214,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
190,"Showcase, partition, shelving, locker, and other furniture related product manufacturing",337215,showcase partition shelving locker and other furniture related product manufacturing,CES3133721501,31,31337215,1,S,"All employees, thousands, showcase, partition, shelving, locker, and other furniture related product manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31337215,CES3133700001,parent_3digit,CES3133700001,Furniture and related product manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
191,Miscellaneous manufacturing,339,miscellaneous manufacturing,CES3133900001,31,31339000,1,S,"All employees, thousands, miscellaneous manufacturing, seasonally adjusted",,1990,M01,2026,M01,4,True,31339000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
192,Medical equipment and supplies manufacturing,3391,medical equipment and supplies manufacturing,CES3133910001,31,31339100,1,S,"All employees, thousands, medical equipment and supplies manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31339100,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
193,Surgical and medical instrument manufacturing,339112,surgical and medical instrument manufacturing,CES3133911201,31,31339112,1,S,"All employees, thousands, surgical and medical instrument manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31339112,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
194,Surgical appliance and supplies manufacturing,339113,surgical appliance and supplies manufacturing,CES3133911301,31,31339113,1,S,"All employees, thousands, surgical appliance and supplies manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,31339113,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
195,Dental laboratories,339116,dental laboratories,CES3133911601,31,31339116,1,S,"All employees, thousands, dental laboratories, seasonally adjusted",I,1990,M01,2025,M12,7,True,31339116,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
196,Other miscellaneous manufacturing,3399,other miscellaneous manufacturing,CES3133990001,31,31339900,1,S,"All employees, thousands, other miscellaneous manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,31339900,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
197,"Jewelry, silverware, and sporting and athletic goods manufacturing","33991,2",jewelry silverware and sporting and athletic goods manufacturing,CES3133992001,31,31339920,1,S,"All employees, thousands, jewelry, silverware, and sporting and athletic goods manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31339920,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
198,Sign manufacturing,33995,sign manufacturing,CES3133995001,31,31339950,1,S,"All employees, thousands, sign manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31339950,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
199,"Doll, toy, game, office supplies (except paper), and all other miscellaneous manufacturing","33993,4,9",doll toy game office supplies except paper and all other miscellaneous manufacturing,CES3133999001,31,31339990,1,S,"All employees, thousands, doll, toy, game, office supplies (except paper), and all other miscellaneous manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,31339990,CES3133900001,parent_3digit,CES3133900001,Miscellaneous manufacturing,CES3100000001,Durable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
200,Nondurable goods,,nondurable goods,CES3200000001,32,32000000,1,S,"All employees, thousands, nondurable goods, seasonally adjusted",,1939,M01,2026,M01,3,True,32000000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES0600000001,Goods-producing,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
201,Food manufacturing,311,food manufacturing,CES3231100001,32,32311000,1,S,"All employees, thousands, food manufacturing, seasonally adjusted",,1990,M01,2026,M01,4,True,32311000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
202,Animal food manufacturing,3111,animal food manufacturing,CES3231110001,32,32311100,1,S,"All employees, thousands, animal food manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,32311100,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
203,Grain and oilseed milling,3112,grain and oilseed milling,CES3231120001,32,32311200,1,S,"All employees, thousands, grain and oilseed milling, seasonally adjusted",I,1990,M01,2025,M12,5,True,32311200,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
204,Sugar and confectionery product manufacturing,3113,sugar and confectionery product manufacturing,CES3231130001,32,32311300,1,S,"All employees, thousands, sugar and confectionery product manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,32311300,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
205,Chocolate and confectionery manufacturing,31135,chocolate and confectionery manufacturing,CES3231135001,32,32311350,1,S,"All employees, thousands, chocolate and confectionery manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,32311350,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
206,Fruit and vegetable preserving and specialty food manufacturing,3114,fruit and vegetable preserving and specialty food manufacturing,CES3231140001,32,32311400,1,S,"All employees, thousands, fruit and vegetable preserving and specialty food manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,32311400,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
207,Frozen food manufacturing,31141,frozen food manufacturing,CES3231141001,32,32311410,1,S,"All employees, thousands, frozen food manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,32311410,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
208,"Frozen fruit, juice, and vegetable manufacturing",311411,frozen fruit juice and vegetable manufacturing,CES3231141101,32,32311411,1,S,"All employees, thousands, frozen fruit, juice, and vegetable manufacturing, seasonally adjusted",I,1972,M01,2025,M12,7,True,32311411,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
209,Frozen specialty food manufacturing,311412,frozen specialty food manufacturing,CES3231141201,32,32311412,1,S,"All employees, thousands, frozen specialty food manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,32311412,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
210,"Fruit and vegetable canning, pickling, and drying",31142,fruit and vegetable canning pickling and drying,CES3231142001,32,32311420,1,S,"All employees, thousands, fruit and vegetable canning, pickling, and drying, seasonally adjusted",I,1990,M01,2025,M12,6,True,32311420,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
211,Dairy product manufacturing,3115,dairy product manufacturing,CES3231150001,32,32311500,1,S,"All employees, thousands, dairy product manufacturing, seasonally adjusted",I,1958,M01,2025,M12,5,True,32311500,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
212,Fluid milk manufacturing,311511,fluid milk manufacturing,CES3231151101,32,32311511,1,S,"All employees, thousands, fluid milk manufacturing, seasonally adjusted",I,1982,M01,2025,M12,7,True,32311511,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
213,Animal slaughtering and processing,3116,animal slaughtering and processing,CES3231160001,32,32311600,1,S,"All employees, thousands, animal slaughtering and processing, seasonally adjusted",I,1976,M01,2025,M12,5,True,32311600,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
214,"Animal, except poultry, slaughtering",311611,animal except poultry slaughtering,CES3231161101,32,32311611,1,S,"All employees, thousands, animal, except poultry, slaughtering, seasonally adjusted",I,1990,M01,2025,M12,7,True,32311611,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
215,"Meat processed from carcasses, rendering, and meat byproduct processing","311612,3",meat processed from carcasses rendering and meat byproduct processing,CES3231161301,32,32311613,1,S,"All employees, thousands, meat processed from carcasses, rendering, and meat byproduct processing, seasonally adjusted",I,1990,M01,2025,M12,7,True,32311613,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
216,Poultry processing,311615,poultry processing,CES3231161501,32,32311615,1,S,"All employees, thousands, poultry processing, seasonally adjusted",I,1972,M01,2025,M12,7,True,32311615,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
217,Seafood product preparation and packaging,3117,seafood product preparation and packaging,CES3231170001,32,32311700,1,S,"All employees, thousands, seafood product preparation and packaging, seasonally adjusted",I,1990,M01,2025,M12,5,True,32311700,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
218,Bakeries and tortilla manufacturing,3118,bakeries and tortilla manufacturing,CES3231180001,32,32311800,1,S,"All employees, thousands, bakeries and tortilla manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,32311800,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
219,Bread and bakery product manufacturing,31181,bread and bakery product manufacturing,CES3231181001,32,32311810,1,S,"All employees, thousands, bread and bakery product manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,32311810,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
220,Retail bakeries,311811,retail bakeries,CES3231181101,32,32311811,1,S,"All employees, thousands, retail bakeries, seasonally adjusted",I,1990,M01,2025,M12,7,True,32311811,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
221,"Commercial bakeries and frozen cakes, pies, and other pastries manufacturing","311812,3",commercial bakeries and frozen cakes pies and other pastries manufacturing,CES3231181301,32,32311813,1,S,"All employees, thousands, commercial bakeries and frozen cakes, pies, and other pastries manufacturing, seasonally adjusted",I,1990,M01,2025,M12,7,True,32311813,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
222,"Cookie, cracker, pasta, and tortilla manufacturing","31182,3",cookie cracker pasta and tortilla manufacturing,CES3231183001,32,32311830,1,S,"All employees, thousands, cookie, cracker, pasta, and tortilla manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,32311830,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
223,Other food manufacturing,3119,other food manufacturing,CES3231190001,32,32311900,1,S,"All employees, thousands, other food manufacturing, seasonally adjusted",I,1990,M01,2025,M12,5,True,32311900,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
224,Snack food manufacturing,31191,snack food manufacturing,CES3231191001,32,32311910,1,S,"All employees, thousands, snack food manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,32311910,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
225,"Coffee, tea, flavoring syrup and concentrate, seasoning, dressing, and other food manufacturing","31192,3,4,9",coffee tea flavoring syrup and concentrate seasoning dressing and other food manufacturing,CES3231199001,32,32311990,1,S,"All employees, thousands, coffee, tea, flavoring syrup and concentrate, seasoning, dressing, and other food manufacturing, seasonally adjusted",I,1990,M01,2025,M12,6,True,32311990,CES3231100001,parent_3digit,CES3231100001,Food manufacturing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
226,Textile mills,313,textile mills,CES3231300001,32,32313000,1,S,"All employees, thousands, textile mills, seasonally adjusted",,1990,M01,2026,M01,4,True,32313000,CES0500000001,top_level_to_total_private,CES0600000001,Goods-producing,CES3200000001,Nondurable goods,CES3000000001,Manufacturing,CES0600000001,Goods-producing,CES0500000001,Total private
