date,cpiu
2006-01,199.3
2006-02,199.4
2006-03,199.7
2006-04,200.7
2006-05,201.3
2006-06,201.8
2006-07,202.9
2006-08,203.8
2006-09,202.8
2006-10,201.9
2006-11,202.0
2006-12,203.1
2007-01,203.437
2007-02,204.226
2007-03,205.288
2007-04,205.904
2007-05,206.755
2007-06,207.234
2007-07,207.603
2007-08,207.667
2007-09,208.547
2007-10,209.19
2007-11,210.834
2007-12,211.445
2008-01,212.174
2008-02,212.687
2008-03,213.448
2008-04,213.942
2008-05,215.208
2008-06,217.463
2008-07,219.016
2008-08,218.69
2008-09,218.877
2008-10,216.995
2008-11,213.153
2008-12,211.398
2009-01,211.933
2009-02,212.705
2009-03,212.495
2009-04,212.709
2009-05,213.022
2009-06,214.79
2009-07,214.726
2009-08,215.445
2009-09,215.861
2009-10,216.509
2009-11,217.234
2009-12,217.347
2010-01,217.488
2010-02,217.281
2010-03,217.353
2010-04,217.403
2010-05,217.29
2010-06,217.199
2010-07,217.605
2010-08,217.923
2010-09,218.275
2010-10,219.035
2010-11,219.59
2010-12,220.472
2011-01,221.187
2011-02,221.898
2011-03,223.046
2011-04,224.093
2011-05,224.806
2011-06,224.806
2011-07,225.395
2011-08,226.106
2011-09,226.597
2011-10,226.75
2011-11,227.169
2011-12,227.223
2012-01,227.842
2012-02,228.329
2012-03,228.807
2012-04,229.187
2012-05,228.713
2012-06,228.524
2012-07,228.59
2012-08,229.918
2012-09,231.015
2012-10,231.638
2012-11,231.249
2012-12,231.221
2013-01,231.679
2013-02,232.937
2013-03,232.282
2013-04,231.797
2013-05,231.893
2013-06,232.445
2013-07,232.9
2013-08,233.456
2013-09,233.544
2013-10,233.669
2013-11,234.1
2013-12,234.719
2014-01,235.288
2014-02,235.547
2014-03,236.028
2014-04,236.468
2014-05,236.918
2014-06,237.231
2014-07,237.498
2014-08,237.46
2014-09,237.477
2014-10,237.43
2014-11,236.983
2014-12,236.252
2015-01,234.747
2015-02,235.342
2015-03,235.976
2015-04,236.222
2015-05,237.001
2015-06,237.657
2015-07,238.034
2015-08,238.033
2015-09,237.498
2015-10,237.733
2015-11,238.017
2015-12,237.761
2016-01,237.652
2016-02,237.336
2016-03,238.08
2016-04,238.992
2016-05,239.557
2016-06,240.222
2016-07,240.101
2016-08,240.545
2016-09,241.176
2016-10,241.741
2016-11,242.026
2016-12,242.637
2017-01,243.618
2017-02,244.006
2017-03,243.892
2017-04,244.193
2017-05,244.004
2017-06,244.163
2017-07,244.243
2017-08,245.183
2017-09,246.435
2017-10,246.626
2017-11,247.284
2017-12,247.805
2018-01,248.859
2018-02,249.529
2018-03,249.577
2018-04,250.227
2018-05,250.792
2018-06,251.018
2018-07,251.214
2018-08,251.663
2018-09,252.182
2018-10,252.772
2018-11,252.594
2018-12,252.767
2019-01,252.561
2019-02,253.319
2019-03,254.277
2019-04,255.233
2019-05,255.296
2019-06,255.213
2019-07,255.802
2019-08,256.036
2019-09,256.43
2019-10,257.155
2019-11,257.879
2019-12,258.63
2020-01,259.127
2020-02,259.25
2020-03,258.076
2020-04,256.032
2020-05,255.802
2020-06,257.042
2020-07,258.352
2020-08,259.316
2020-09,259.997
2020-10,260.319
2020-11,260.911
2020-12,262.045
2021-01,262.687
2021-02,263.579
2021-03,264.961
2021-04,266.614
2021-05,268.383
2021-06,270.654
2021-07,271.903
2021-08,272.676
2021-09,273.91
2021-10,276.55
2021-11,278.919
2021-12,280.845
2022-01,282.543
2022-02,284.5
2022-03,287.674
2022-04,288.561
2022-05,291.298
2022-06,294.957
2022-07,294.913
2022-08,295.097
2022-09,296.349
2022-10,298.007
2022-11,298.786
2022-12,298.832
2023-01,300.42
2023-02,301.45
2023-03,301.821
2023-04,302.845
2023-05,303.334
2023-06,304.014
2023-07,304.609
2023-08,306.082
2023-09,307.276
2023-10,307.696
2023-11,308.148
2023-12,308.741
2024-01,309.698
2024-02,310.967
2024-03,312.345
2024-04,313.023
2024-05,313.175
2024-06,313.044
2024-07,313.569
2024-08,314.062
2024-09,314.732
2024-10,315.631
2024-11,316.528
2024-12,317.604
2025-01,318.961
2025-02,319.679
2025-03,319.785
2025-04,320.302
2025-05,320.62
2025-06,321.435
2025-07,322.169
2025-08,323.291
2025-09,324.245
2025-11,325.063
2025-12,326.031
2026-01,326.588
2026-02,327.46
2026-03,330.293
